Time,Ticker,latestPrice,latestVolume,Close,Open,low,high
13:33,ABMD,284.405,548196,276.39,277.75,275,286.9
13:33,AXAS,1.255,501096,1.33,1.31,1.26,1.34
13:33,ACIU,4.99,84698,5.02,5.02,4.97,5.09
13:33,ACIA,57.93,1303164,55.35,56.59,56.03,59.55
13:33,ACTG,3.25,31185,3.2,3.2,3.21,3.26
13:33,ACHC,29.255,294638,29.2,29.16,28.95,29.42
13:33,ACAD,26.76,303254,26.24,26.27,26.27,26.84
13:33,ACAMU,10,3500,10,10,10,10
13:33,ACST,1.013,219224,1.02,1.01,1,1.05
13:33,AXDX,21.375,97056,20.69,20.75,20.566,21.615
13:33,XLRN,44.73,85823,44.02,44.11,43.95,45.179
13:33,ARAY,4.61,271571,4.67,4.69,4.57,4.76
13:33,ACRX,3.305,768698,3.24,3.25,3.2,3.35
13:33,ACER,23.71,13505,23.89,23.89,23.54,23.97
13:33,ACET,0.18,2430303,0.1629,0.1557,0.15,0.195
13:33,AKAO,0.472,894309,0.4713,0.48,0.4518,0.488
13:33,ACHV,3.357,205832,3.15,3.14,3.09,3.43
13:33,ACHN,2.95,320555,2.91,2.91,2.9,2.99
13:33,ACIW,32.45,292507,32.76,32.91,32.18,33.74
13:33,ACRS,6.3,166889,5.98,5.98,5.98,6.29
13:33,ACMR,15.05,29791,15.08,15.08,14.6,15.23
13:33,ACNB,35.975,9064,35.8,36.12,35.705,36.194
13:33,ACOR,13.06,207915,13.04,13.07,12.87,13.16
13:33,ATVI,45.19,4822417,45.52,45.34,44.87,45.71
13:33,ADMS,7.3,186687,7.2,7.21,7.17,7.34
13:33,ADMP,2.11,372943,2.02,2.04,2.04,2.24
13:33,ADAP,4.09,134181,3.98,3.92,3.87,4.15
13:33,ADUS,62.47,84269,62.04,62.33,61.35,62.73
13:33,AEY,1.365,12504,1.37,1.36,1.34,1.38
13:33,IOTS,5.88,32151,6.04,6.02,5.81,6.1
13:33,ADIL,3.16,113603,2.94,2.93,2.894,3.24
13:33,ADILW,0.36,2200,0.36,0.3501,0.3501,0.36
13:34,YI,6.4,18602,6.41,6.46,6.35,6.667
13:34,PIH,5.46,1004,5.37,5.27,5.27,5.46
13:34,PIHPP,23.254,500,23.26,23.11,23.25,23.361
13:34,TURN,1.879,13747,1.86,1.87,1.87,1.879
13:34,FLWS,18.205,139442,18.21,18.29,18.06,18.38
13:34,BCOW,9.73,1151,9.73,9.74,9.7,9.73
13:34,FCCY,17.85,2730,17.6,17.75,17.702,18.2
13:34,SRCE,44.82,11249,44.58,44.5,44.35,45.29
13:34,VNET,7.69,111944,7.91,7.93,7.68,8.01
13:34,TWOU,71.475,377870,68.13,68.23,68.05,72.06
13:34,QFIN,15.1,11058,15.565,15.04,14.99,15.432
13:34,TPNL,7.75,160025,7.93,7.94,7.63,7.965
13:34,JOBS,74.8,153255,73.68,73.58,73.33,74.9
13:34,EGHT,20.185,259126,20.14,20.17,19.95,20.42
13:34,AAON,45.16,69012,44.93,45,44.46,45.32
13:34,ABEO,7.33,109280,7.17,7.18,7.01,7.34
13:34,ABEOW,3.07,1700,3.07,2.84,2.653,3.07
13:34,ABIL,1.72,61151,1.68,1.68,1.665,1.75
13:34,ABMD,284.405,548426,276.39,277.75,275,286.9
13:34,AXAS,1.255,501096,1.33,1.31,1.26,1.34
13:34,ACIU,4.99,84698,5.02,5.02,4.97,5.09
13:34,ACIA,58.01,1311034,55.35,56.59,56.03,59.55
13:34,ACTG,3.25,31185,3.2,3.2,3.21,3.26
13:34,ACHC,29.255,294638,29.2,29.16,28.95,29.42
13:34,ACAD,26.76,303254,26.24,26.27,26.27,26.84
13:34,ACAMU,10,3500,10,10,10,10
13:34,ACST,1.013,219224,1.02,1.01,1,1.05
13:34,AXDX,21.375,97161,20.69,20.75,20.566,21.615
13:34,XLRN,44.73,85823,44.02,44.11,43.95,45.179
13:34,ARAY,4.61,271571,4.67,4.69,4.57,4.76
13:34,ACRX,3.31,804348,3.24,3.25,3.2,3.35
13:34,ACER,23.71,13505,23.89,23.89,23.54,23.97
13:34,ACET,0.1801,2430303,0.1629,0.1557,0.15,0.195
13:34,AKAO,0.472,894309,0.4713,0.48,0.4518,0.488
13:34,ACHV,3.35,213470,3.15,3.14,3.09,3.43
13:34,ACHN,2.95,320555,2.91,2.91,2.9,2.99
13:34,ACIW,32.45,292897,32.76,32.91,32.18,33.74
13:34,ACRS,6.285,168376,5.98,5.98,5.98,6.29
13:34,ACMR,15.05,29791,15.08,15.08,14.6,15.23
13:34,ACNB,35.975,9088,35.8,36.12,35.705,36.194
13:34,ACOR,13.06,207915,13.04,13.07,12.87,13.16
13:34,ATVI,45.16,4830614,45.52,45.34,44.87,45.71
13:34,ADMS,7.3,186828,7.2,7.21,7.17,7.34
13:34,ADMP,2.11,372943,2.02,2.04,2.04,2.24
13:34,ADAP,4.09,134181,3.98,3.92,3.87,4.15
13:34,ADUS,62.63,84269,62.04,62.33,61.35,62.73
13:34,AEY,1.365,12504,1.37,1.36,1.34,1.38
13:34,IOTS,5.88,32151,6.04,6.02,5.81,6.1
13:34,ADIL,3.16,113603,2.94,2.93,2.894,3.24
13:34,ADILW,0.36,2200,0.36,0.3501,0.3501,0.36
13:35,YI,6.4,18602,6.41,6.46,6.35,6.667
13:35,PIH,5.46,1004,5.37,5.27,5.27,5.46
13:35,PIHPP,23.254,500,23.26,23.11,23.25,23.361
13:35,TURN,1.879,13747,1.86,1.87,1.87,1.879
13:35,FLWS,18.205,140684,18.21,18.29,18.06,18.38
13:35,BCOW,9.73,1151,9.73,9.74,9.7,9.73
13:35,FCCY,17.85,2730,17.6,17.75,17.702,18.2
13:35,SRCE,44.82,11409,44.58,44.5,44.35,45.29
13:35,VNET,7.75,113251,7.91,7.93,7.68,8.01
13:35,TWOU,71.475,377870,68.13,68.23,68.05,72.06
13:35,QFIN,15.1,11058,15.565,15.04,14.99,15.432
13:35,TPNL,7.75,160025,7.93,7.94,7.63,7.965
13:35,JOBS,74.8,153255,73.68,73.58,73.33,74.9
13:35,EGHT,20.185,259205,20.14,20.17,19.95,20.42
13:35,AAON,45.16,69012,44.93,45,44.46,45.32
13:35,ABEO,7.33,109280,7.17,7.18,7.01,7.34
13:35,ABEOW,3.07,1700,3.07,2.84,2.653,3.07
13:35,ABIL,1.72,61151,1.68,1.68,1.665,1.75
13:35,ABMD,285,549590,276.39,277.75,275,286.9
13:35,AXAS,1.255,501096,1.33,1.31,1.26,1.34
13:35,ACIU,4.99,84698,5.02,5.02,4.97,5.09
13:35,ACIA,58,1313088,55.35,56.59,56.03,59.55
13:35,ACTG,3.25,31185,3.2,3.2,3.21,3.26
13:35,ACHC,29.255,294723,29.2,29.16,28.95,29.42
13:35,ACAD,26.76,305549,26.24,26.27,26.27,26.84
13:35,ACAMU,10,3500,10,10,10,10
13:35,ACST,1.013,219224,1.02,1.01,1,1.05
13:35,AXDX,21.375,97161,20.69,20.75,20.566,21.615
13:35,XLRN,44.73,85823,44.02,44.11,43.95,45.179
13:35,ARAY,4.61,271571,4.67,4.69,4.57,4.76
13:35,ACRX,3.31,817251,3.24,3.25,3.2,3.35
13:35,ACER,23.71,13505,23.89,23.89,23.54,23.97
13:35,ACET,0.1801,2430303,0.1629,0.1557,0.15,0.195
13:35,AKAO,0.472,894309,0.4713,0.48,0.4518,0.488
13:35,ACHV,3.321,215376,3.15,3.14,3.09,3.43
13:35,ACHN,2.95,320555,2.91,2.91,2.9,2.99
